Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2008,M,Australia,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$740,980,710",0,0,N/A,0,N/A,0
2008,M,Belgium,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,665,749,816",0,0,N/A,0,N/A,0
2008,X,Belgium,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,870,310,087",0,0,N/A,0,N/A,0
2008,M,Brazil,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,448,342,641",0,0,N/A,0,N/A,0
2008,X,Brazil,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,252,556,815",0,0,N/A,0,N/A,0
2008,M,Australia,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,704,505,801",0,0,N/A,0,N/A,0
2008,X,Australia,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,276,103,696",0,0,N/A,0,N/A,0
2008,M,Brazil,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,712,805,699",0,0,N/A,0,N/A,0
2008,X,Brazil,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,417,989,557",0,0,N/A,0,N/A,0
2008,M,Australia,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,166,229,503",0,0,N/A,0,N/A,0
2008,X,Australia,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,331,244,009",0,0,N/A,0,N/A,0
2008,M,Belgium,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,251,410,370",0,0,N/A,0,N/A,0
2008,X,Belgium,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,749,656,292",0,0,N/A,0,N/A,0
2008,M,Brazil,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$188,273,700",0,0,N/A,0,N/A,0
2008,M,Australia,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,384,216,111",0,0,N/A,0,N/A,0
2008,X,Australia,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,294,341,301",0,0,N/A,0,N/A,0
2008,M,Belgium,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,979,331,193",0,0,N/A,0,N/A,0
2008,X,Belgium,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,098,162,290",0,0,N/A,0,N/A,0
2008,M,Brazil,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,520,843,115",0,0,N/A,0,N/A,0
2008,X,Brazil,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,864,981,838",0,0,N/A,0,N/A,0
2008,M,Australia,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,382,430,994",0,0,N/A,0,N/A,0
2008,X,Australia,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,478,794,428",0,0,N/A,0,N/A,0
2008,M,Belgium,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$51,928,596,915",0,0,N/A,0,N/A,0
2008,X,Belgium,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$82,435,028,961",0,0,N/A,0,N/A,0
2008,M,Brazil,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,893,920,835",0,0,N/A,0,N/A,0
2008,X,Brazil,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,185,230,723",0,0,N/A,0,N/A,0
2008,M,Australia,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$10,003,689,063",0,0,N/A,0,N/A,0
2008,X,Australia,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,547,095,730",0,0,N/A,0,N/A,0
2008,M,Belgium,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$79,859,448,173",0,0,N/A,0,N/A,0
2008,X,Belgium,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$93,191,910,551",0,0,N/A,0,N/A,0
2008,M,Brazil,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$12,463,098,473",0,0,N/A,0,N/A,0
2008,X,Brazil,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$8,847,430,437",0,0,N/A,0,N/A,0
2008,M,Australia,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,274,160,697",0,0,N/A,0,N/A,0
2008,X,Australia,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,528,200,752",0,0,N/A,0,N/A,0
2008,M,Belgium,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,016,204,479",0,0,N/A,0,N/A,0
2008,X,Belgium,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,538,741,364",0,0,N/A,0,N/A,0
2008,M,Brazil,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$854,165,456",0,0,N/A,0,N/A,0
2008,X,Brazil,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,807,030,337",0,0,N/A,0,N/A,0
2008,M,Australia,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,747,998,995",0,0,N/A,0,N/A,0
2008,X,Australia,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,420,528,572",0,0,N/A,0,N/A,0
2008,M,Belgium,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$14,681,551,545",0,0,N/A,0,N/A,0
2008,X,Belgium,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$22,079,322,577",0,0,N/A,0,N/A,0
2008,M,Brazil,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,828,715,734",0,0,N/A,0,N/A,0
2008,X,Brazil,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,758,749,652",0,0,N/A,0,N/A,0
2008,M,Australia,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$18,049,342,720",0,0,N/A,0,N/A,0
2008,X,Australia,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$42,731,584,689",0,0,N/A,0,N/A,0
2008,M,Belgium,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$12,569,906,708",0,0,N/A,0,N/A,0
2008,X,Belgium,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,106,903,177",0,0,N/A,0,N/A,0
2008,M,Brazil,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$7,158,296,324",0,0,N/A,0,N/A,0
2008,X,Brazil,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$6,111,848,488",0,0,N/A,0,N/A,0
2008,M,Australia,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$5,730,763,481",0,0,N/A,0,N/A,0
2008,X,Australia,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$15,485,801,532",0,0,N/A,0,N/A,0
2008,M,Belgium,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,595,103,808",0,0,N/A,0,N/A,0
2008,X,Belgium,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,762,990,204",0,0,N/A,0,N/A,0
2008,M,Brazil,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$5,748,195,501",0,0,N/A,0,N/A,0
2008,X,Brazil,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,133,101,470",0,0,N/A,0,N/A,0
2008,M,Australia,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,230,013,048",0,0,N/A,0,N/A,0
