typecode,refyear,reporteriso,reporterdesc,partneriso,partnerdesc,flowcode,cmdcode,cmddesc,qty,netwgt,cifvalue,fobvalue,primaryvalue,isreported
C,2008,SAU,Saudi Arabia,ESP,Spain,X,TOTAL,All Commodities,0.0,0.0,0,331095614,331095614,True
C,2008,NLD,Netherlands,CHE,Switzerland,M,TOTAL,All Commodities,0.0,0.0,3041729012,0,3041729012,True
C,2008,NLD,Netherlands,CHE,Switzerland,X,TOTAL,All Commodities,0.0,0.0,0,7297604191,7297604191,True
C,2008,NGA,Nigeria,CHE,Switzerland,M,TOTAL,All Commodities,0.0,0.0,882803363,0,882803363,True
C,2008,NGA,Nigeria,CHE,Switzerland,X,TOTAL,All Commodities,0.0,0.0,0,181316887,181316887,True
C,2008,RUS,Russian Federation,CHE,Switzerland,M,TOTAL,All Commodities,0.0,0.0,2392119232,0,2392119232,True
C,2008,NGA,Nigeria,GBR,United Kingdom,M,TOTAL,All Commodities,0.0,0.0,1228092466,0,1228092466,True
C,2008,NLD,Netherlands,GBR,United Kingdom,X,TOTAL,All Commodities,0.0,0.0,0,49490834615,49490834615,True
C,2008,NLD,Netherlands,GBR,United Kingdom,M,TOTAL,All Commodities,0.0,0.0,31272700755,0,31272700755,True
C,2008,SAU,Saudi Arabia,ARE,United Arab Emirates,X,TOTAL,All Commodities,0.0,0.0,0,4585692132,4585692132,True
C,2008,SAU,Saudi Arabia,ARE,United Arab Emirates,M,TOTAL,All Commodities,0.0,0.0,2820259259,0,2820259259,True
C,2008,RUS,Russian Federation,ARE,United Arab Emirates,X,TOTAL,All Commodities,0.0,0.0,0,804956559,804956559,True
C,2008,SGP,Singapore,CAN,Canada,X,TOTAL,All Commodities,0.0,0.0,0,1960174918,1960174918,True
C,2008,RUS,Russian Federation,ARE,United Arab Emirates,M,TOTAL,All Commodities,0.0,0.0,41478398,0,41478398,True
C,2008,NGA,Nigeria,ARE,United Arab Emirates,M,TOTAL,All Commodities,0.0,0.0,911930850,0,911930850,True
C,2008,NLD,Netherlands,ARE,United Arab Emirates,X,TOTAL,All Commodities,0.0,0.0,0,3255466762,3255466762,True
C,2008,NLD,Netherlands,ARE,United Arab Emirates,M,TOTAL,All Commodities,0.0,0.0,1091140514,0,1091140514,True
C,2008,SAU,Saudi Arabia,CHE,Switzerland,X,TOTAL,All Commodities,0.0,0.0,0,329803612,329803612,True
C,2008,SAU,Saudi Arabia,CHE,Switzerland,M,TOTAL,All Commodities,0.0,0.0,2030117738,0,2030117738,True
C,2008,RUS,Russian Federation,CHE,Switzerland,X,TOTAL,All Commodities,0.0,0.0,0,10302830262,10302830262,True
C,2008,NGA,Nigeria,ARE,United Arab Emirates,X,TOTAL,All Commodities,0.0,0.0,0,76553257,76553257,True
C,2008,ZAF,South Africa,CAN,Canada,M,TOTAL,All Commodities,0.0,0.0,0,928020523,928020523,True
C,2008,ZAF,South Africa,CAN,Canada,X,TOTAL,All Commodities,0.0,0.0,0,425385292,425385292,True
C,2008,IND,India,CHN,China,M,TOTAL,All Commodities,0.0,0.0,31586024206,0,31586024206,True
C,2008,IND,India,KOR,Rep. of Korea,M,TOTAL,All Commodities,0.0,0.0,8350676521,0,8350676521,True
C,2008,IND,India,KOR,Rep. of Korea,X,TOTAL,All Commodities,0.0,0.0,0,3773311534,3773311534,True
C,2008,SGP,Singapore,KOR,Rep. of Korea,M,TOTAL,All Commodities,0.0,0.0,18135057307,0,18135057307,True
C,2008,SGP,Singapore,KOR,Rep. of Korea,X,TOTAL,All Commodities,0.0,0.0,0,12283886938,12283886938,True
C,2008,ZAF,South Africa,KOR,Rep. of Korea,M,TOTAL,All Commodities,0.0,0.0,0,1437057320,1437057320,True
C,2008,ZAF,South Africa,KOR,Rep. of Korea,X,TOTAL,All Commodities,0.0,0.0,0,1506740743,1506740743,True
C,2008,IND,India,MEX,Mexico,M,TOTAL,All Commodities,0.0,0.0,1800095215,0,1800095215,True
C,2008,IND,India,MEX,Mexico,X,TOTAL,All Commodities,0.0,0.0,0,684343022,684343022,True
C,2008,SGP,Singapore,MEX,Mexico,M,TOTAL,All Commodities,0.0,0.0,703429211,0,703429211,True
C,2008,SGP,Singapore,MEX,Mexico,X,TOTAL,All Commodities,0.0,0.0,0,1441597422,1441597422,True
C,2008,ZAF,South Africa,MEX,Mexico,M,TOTAL,All Commodities,0.0,0.0,0,349338733,349338733,True
C,2008,ZAF,South Africa,MEX,Mexico,X,TOTAL,All Commodities,0.0,0.0,0,183915772,183915772,True
C,2008,IND,India,NLD,Netherlands,M,TOTAL,All Commodities,0.0,0.0,1881000382,0,1881000382,True
C,2008,IND,India,NLD,Netherlands,X,TOTAL,All Commodities,0.0,0.0,0,6528600259,6528600259,True
C,2008,SGP,Singapore,NLD,Netherlands,M,TOTAL,All Commodities,0.0,0.0,4127089462,0,4127089462,True
C,2008,SGP,Singapore,NLD,Netherlands,X,TOTAL,All Commodities,0.0,0.0,0,7246944856,7246944856,True
C,2008,ZAF,South Africa,NLD,Netherlands,M,TOTAL,All Commodities,0.0,0.0,0,1213191564,1213191564,True
C,2008,IND,India,SAU,Saudi Arabia,M,TOTAL,All Commodities,0.0,0.0,22982841185,0,22982841185,True
C,2008,ZAF,South Africa,RUS,Russian Federation,X,TOTAL,All Commodities,0.0,0.0,0,242974588,242974588,True
C,2008,ZAF,South Africa,RUS,Russian Federation,M,TOTAL,All Commodities,0.0,0.0,0,306430520,306430520,True
C,2008,SGP,Singapore,RUS,Russian Federation,X,TOTAL,All Commodities,0.0,0.0,0,448884524,448884524,True
C,2008,SGP,Singapore,RUS,Russian Federation,M,TOTAL,All Commodities,0.0,0.0,2241846594,0,2241846594,True
C,2008,IND,India,RUS,Russian Federation,X,TOTAL,All Commodities,0.0,0.0,0,1090744013,1090744013,True
C,2008,ZAF,South Africa,JPN,Japan,X,TOTAL,All Commodities,0.0,0.0,0,8119608881,8119608881,True
C,2008,IND,India,RUS,Russian Federation,M,TOTAL,All Commodities,0.0,0.0,4451326284,0,4451326284,True
C,2008,ZAF,South Africa,NGA,Nigeria,M,TOTAL,All Commodities,0.0,0.0,0,1892425755,1892425755,True
C,2008,SGP,Singapore,NGA,Nigeria,X,TOTAL,All Commodities,0.0,0.0,0,427409381,427409381,True
C,2008,SGP,Singapore,NGA,Nigeria,M,TOTAL,All Commodities,0.0,0.0,7047020,0,7047020,True
C,2008,IND,India,NGA,Nigeria,X,TOTAL,All Commodities,0.0,0.0,0,1369418230,1369418230,True
C,2008,IND,India,NGA,Nigeria,M,TOTAL,All Commodities,0.0,0.0,10124668706,0,10124668706,True
C,2008,ZAF,South Africa,NLD,Netherlands,X,TOTAL,All Commodities,0.0,0.0,0,3463622169,3463622169,True
C,2008,ZAF,South Africa,NGA,Nigeria,X,TOTAL,All Commodities,0.0,0.0,0,955042526,955042526,True
C,2008,NGA,Nigeria,ZAF,South Africa,X,TOTAL,All Commodities,0.0,0.0,0,2617612471,2617612471,True
C,2008,ZAF,South Africa,JPN,Japan,M,TOTAL,All Commodities,0.0,0.0,0,4882610733,4882610733,True
C,2008,SGP,Singapore,JPN,Japan,M,TOTAL,All Commodities,0.0,0.0,26416238090,0,26416238090,True
C,2008,IND,India,CHN,China,X,TOTAL,All Commodities,0.0,0.0,0,10093926793,10093926793,True
C,2008,SGP,Singapore,CHN,China,M,TOTAL,All Commodities,0.0,0.0,33797289245,0,33797289245,True
C,2008,SGP,Singapore,CHN,China,X,TOTAL,All Commodities,0.0,0.0,0,31085304458,31085304458,True
C,2008,ZAF,South Africa,CHN,China,M,TOTAL,All Commodities,0.0,0.0,0,9909266189,9909266189,True
C,2008,ZAF,South Africa,CHN,China,X,TOTAL,All Commodities,0.0,0.0,0,4309779843,4309779843,True
C,2008,IND,India,FRA,France,M,TOTAL,All Commodities,0.0,0.0,6404518480,0,6404518480,True
C,2008,IND,India,FRA,France,X,TOTAL,All Commodities,0.0,0.0,0,3086397514,3086397514,True
C,2008,SGP,Singapore,FRA,France,M,TOTAL,All Commodities,0.0,0.0,7891264222,0,7891264222,True
C,2008,SGP,Singapore,FRA,France,X,TOTAL,All Commodities,0.0,0.0,0,4738056086,4738056086,True
C,2008,ZAF,South Africa,FRA,France,M,TOTAL,All Commodities,0.0,0.0,0,2502564644,2502564644,True
C,2008,ZAF,South Africa,FRA,France,X,TOTAL,All Commodities,0.0,0.0,0,1447208743,1447208743,True
C,2008,IND,India,DEU,Germany,M,TOTAL,All Commodities,0.0,0.0,11418567837,0,11418567837,True
C,2008,IND,India,DEU,Germany,X,TOTAL,All Commodities,0.0,0.0,0,5915161038,5915161038,True
C,2008,SGP,Singapore,DEU,Germany,M,TOTAL,All Commodities,0.0,0.0,9241593621,0,9241593621,True
C,2008,SGP,Singapore,DEU,Germany,X,TOTAL,All Commodities,0.0,0.0,0,6651954604,6651954604,True
C,2008,ZAF,South Africa,DEU,Germany,M,TOTAL,All Commodities,0.0,0.0,0,9914010385,9914010385,True
C,2008,ZAF,South Africa,DEU,Germany,X,TOTAL,All Commodities,0.0,0.0,0,5748889960,5748889960,True
C,2008,IND,India,JPN,Japan,X,TOTAL,All Commodities,0.0,0.0,0,3624208847,3624208847,True
C,2008,IND,India,JPN,Japan,M,TOTAL,All Commodities,0.0,0.0,7784411156,0,7784411156,True
C,2008,ZAF,South Africa,ITA,Italy,X,TOTAL,All Commodities,0.0,0.0,0,1595169513,1595169513,True
C,2008,ZAF,South Africa,ITA,Italy,M,TOTAL,All Commodities,0.0,0.0,0,2133796117,2133796117,True
C,2008,SGP,Singapore,ITA,Italy,X,TOTAL,All Commodities,0.0,0.0,0,684470752,684470752,True
C,2008,SGP,Singapore,ITA,Italy,M,TOTAL,All Commodities,0.0,0.0,3455837880,0,3455837880,True
C,2008,SGP,Singapore,JPN,Japan,X,TOTAL,All Commodities,0.0,0.0,0,16659803006,16659803006,True
C,2008,IND,India,ITA,Italy,X,TOTAL,All Commodities,0.0,0.0,0,3999857886,3999857886,True
C,2008,ZAF,South Africa,HKG,"China, Hong Kong SAR",X,TOTAL,All Commodities,0.0,0.0,0,645113259,645113259,True
C,2008,ZAF,South Africa,HKG,"China, Hong Kong SAR",M,TOTAL,All Commodities,0.0,0.0,0,328171197,328171197,True
C,2008,SGP,Singapore,HKG,"China, Hong Kong SAR",X,TOTAL,All Commodities,0.0,0.0,0,35169394005,35169394005,True
C,2008,SGP,Singapore,HKG,"China, Hong Kong SAR",M,TOTAL,All Commodities,0.0,0.0,3651707132,0,3651707132,True
C,2008,IND,India,HKG,"China, Hong Kong SAR",X,TOTAL,All Commodities,0.0,0.0,0,6770545478,6770545478,True
C,2008,IND,India,HKG,"China, Hong Kong SAR",M,TOTAL,All Commodities,0.0,0.0,4998197389,0,4998197389,True
C,2008,IND,India,ITA,Italy,M,TOTAL,All Commodities,0.0,0.0,4575537632,0,4575537632,True
C,2008,IND,India,SAU,Saudi Arabia,X,TOTAL,All Commodities,0.0,0.0,0,5375371709,5375371709,True
C,2008,NGA,Nigeria,ZAF,South Africa,M,TOTAL,All Commodities,0.0,0.0,512217182,0,512217182,True
C,2008,NLD,Netherlands,ZAF,South Africa,M,TOTAL,All Commodities,0.0,0.0,2398479845,0,2398479845,True
C,2008,RUS,Russian Federation,CHN,China,M,TOTAL,All Commodities,0.0,0.0,34768715531,0,34768715531,True
C,2008,RUS,Russian Federation,CHN,China,X,TOTAL,All Commodities,0.0,0.0,0,21147334469,21147334469,True
C,2008,SAU,Saudi Arabia,CHN,China,M,TOTAL,All Commodities,0.0,0.0,12414045651,0,12414045651,True
