typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2297787213.142","0","2297787213.142","4","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","124","CAN","Canada","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","2084238736.149","2084238736.149","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3227502404","3001661640","3227502404","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","124","CAN","Canada","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2701713709","2701713709","4","false","true",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"44861052377","44861052377","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"87311419328","87311419328","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7992736880.193","0","7992736880.193","4","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","7384074230.753","7384074230.753","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","39632451587","37325464635","39632451587","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"46023192076","46023192076","4","false","true",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3843813258","3843813258","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1162597343","1162597343","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","38349908665.988","0","38349908665.988","4","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","50772479489.54","50772479489.54","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","6710398434","6510113752","6710398434","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"3423194042","3423194042","4","false","true",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"10937428846","10937428846","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1374827825","1374827825","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","49181388675.565","0","49181388675.565","4","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","50938388945.488","50938388945.488","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","15738601652","15188273086","15738601652","4","false","true",
