typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20080101","2008","52","2008","36","AUS","Australia","M","Import","36","AUS","Australia","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"740980710","740980710","0","true","false",
"C","A","20080101","2008","52","2008","56","BEL","Belgium","M","Import","36","AUS","Australia","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1665749816",,"1665749816","0","true","false",
"C","A","20080101","2008","52","2008","56","BEL","Belgium","X","Export","36","AUS","Australia","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1870310087","1870310087","0","true","false",
"C","A","20080101","2008","52","2008","76","BRA","Brazil","M","Import","36","AUS","Australia","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1448342641","1228363700","1448342641","4","false","true",
"C","A","20080101","2008","52","2008","76","BRA","Brazil","X","Export","36","AUS","Australia","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1252556815","1252556815","4","false","true",
"C","A","20080101","2008","52","2008","36","AUS","Australia","M","Import","56","BEL","Belgium","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1704505801","1704505801","0","true","false",
"C","A","20080101","2008","52","2008","36","AUS","Australia","X","Export","56","BEL","Belgium","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1276103696","1276103696","0","true","false",
"C","A","20080101","2008","52","2008","76","BRA","Brazil","M","Import","56","BEL","Belgium","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1712805699","1643438792","1712805699","4","false","true",
"C","A","20080101","2008","52","2008","76","BRA","Brazil","X","Export","56","BEL","Belgium","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"4417989557","4417989557","4","false","true",
"C","A","20080101","2008","52","2008","36","AUS","Australia","M","Import","76","BRA","Brazil","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1166229503","1166229503","0","true","false",
